date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,Usage_W,Lagging_Current_Power_Factor2,Total_active_power,Total_reactive_power,Total_power_factor
1/1/2018 0:15,3.17,2.95,0,0,73.21,100,900,Weekday,Monday,Light_Load,3170,7,3.17,2.95,173.21
1/1/2018 0:30,4,4.46,0,0,66.77,100,1800,Weekday,Monday,Light_Load,4000,6,4,4.46,166.77
1/1/2018 0:45,3.24,3.28,0,0,70.28,100,2700,Weekday,Monday,Light_Load,3240,7,3.24,3.28,170.28
1/1/2018 1:00,3.31,3.56,0,0,68.09,100,3600,Weekday,Monday,Light_Load,3310,6,3.31,3.56,168.09
1/1/2018 1:15,3.82,4.5,0,0,64.72,100,4500,Weekday,Monday,Light_Load,3820,6,3.82,4.5,164.72
1/1/2018 1:30,3.28,3.56,0,0,67.76,100,5400,Weekday,Monday,Light_Load,3280,6,3.28,3.56,167.76
1/1/2018 1:45,3.6,4.14,0,0,65.62,100,6300,Weekday,Monday,Light_Load,3600,6,3.6,4.14,165.62
1/1/2018 2:00,3.6,4.28,0,0,64.37,100,7200,Weekday,Monday,Light_Load,3600,6,3.6,4.28,164.37
1/1/2018 2:15,3.28,3.64,0,0,66.94,100,8100,Weekday,Monday,Light_Load,3280,6,3.28,3.64,166.94
1/1/2018 2:30,3.78,4.72,0,0,62.51,100,9000,Weekday,Monday,Light_Load,3780,6,3.78,4.72,162.51
1/1/2018 2:45,3.46,4.03,0,0,65.14,100,9900,Weekday,Monday,Light_Load,3460,6,3.46,4.03,165.14
1/1/2018 3:00,3.24,3.64,0,0,66.49,100,10800,Weekday,Monday,Light_Load,3240,6,3.24,3.64,166.49
1/1/2018 3:15,3.96,4.97,0,0,62.32,100,11700,Weekday,Monday,Light_Load,3960,6,3.96,4.97,162.32
1/1/2018 3:30,3.31,3.74,0,0,66.27,100,12600,Weekday,Monday,Light_Load,3310,6,3.31,3.74,166.27
1/1/2018 3:45,3.31,3.85,0,0,65.19,100,13500,Weekday,Monday,Light_Load,3310,6,3.31,3.85,165.19
1/1/2018 4:00,3.89,5,0,0,61.4,100,14400,Weekday,Monday,Light_Load,3890,6,3.89,5,161.4
1/1/2018 4:15,3.28,3.82,0,0,65.14,100,15300,Weekday,Monday,Light_Load,3280,6,3.28,3.82,165.14
1/1/2018 4:30,3.56,4.28,0,0,63.95,100,16200,Weekday,Monday,Light_Load,3560,6,3.56,4.28,163.95
1/1/2018 4:45,3.74,4.54,0,0,63.58,100,17100,Weekday,Monday,Light_Load,3740,6,3.74,4.54,163.58
1/1/2018 5:00,3.31,3.6,0,0,67.68,100,18000,Weekday,Monday,Light_Load,3310,6,3.31,3.6,167.68
1/1/2018 5:15,3.56,4.07,0,0,65.84,100,18900,Weekday,Monday,Light_Load,3560,6,3.56,4.07,165.84
1/1/2018 5:30,3.56,4.1,0,0,65.56,100,19800,Weekday,Monday,Light_Load,3560,6,3.56,4.1,165.56
1/1/2018 5:45,3.28,3.49,0,0,68.48,100,20700,Weekday,Monday,Light_Load,3280,6,3.28,3.49,168.48
1/1/2018 6:00,3.78,4.32,0,0,65.85,100,21600,Weekday,Monday,Light_Load,3780,6,3.78,4.32,165.85
1/1/2018 6:15,3.35,3.64,0,0,67.72,100,22500,Weekday,Monday,Light_Load,3350,6,3.35,3.64,167.72
1/1/2018 6:30,3.24,3.35,0,0,69.52,100,23400,Weekday,Monday,Light_Load,3240,7,3.24,3.35,169.52
1/1/2018 6:45,3.89,4.46,0,0,65.73,100,24300,Weekday,Monday,Light_Load,3890,6,3.89,4.46,165.73
1/1/2018 7:00,3.31,3.53,0,0,68.4,100,25200,Weekday,Monday,Light_Load,3310,6,3.31,3.53,168.4
1/1/2018 7:15,3.28,3.49,0,0,68.48,100,26100,Weekday,Monday,Light_Load,3280,6,3.28,3.49,168.48
1/1/2018 7:30,3.85,4.75,0,0,62.97,100,27000,Weekday,Monday,Light_Load,3850,6,3.85,4.75,162.97
1/1/2018 7:45,3.2,3.6,0,0,66.44,100,27900,Weekday,Monday,Light_Load,3200,6,3.2,3.6,166.44
1/1/2018 8:00,3.31,3.78,0,0,65.88,100,28800,Weekday,Monday,Light_Load,3310,6,3.31,3.78,165.88
